_id,mmsi,shipCallSigns,shipName,shipSize,shipType,shipWidth
64bfa853031fca34f812586b,311000926,C6EL3,FREEDOM,292,"Cargo ship, No additional information",45
64bfa854031fca34f81258a2,413309870,BOXF5,QIAN HUI 008,107,"Cargo ship, General",21
64bfa88b031fca34f8125e64,413489860,BPAW9,HAIYANGSHIYOU286,141,"Other types of ship, General",29
64bfa90f031fca34f8126d38,373440000,3FCZ4,HONOR STAR,225,"Cargo ship, General",33
64bfa973031fca34f81278ad,563004200,9V5283,DALI,300,"Cargo ship, General",48
64bfa9d4031fca34f812841a,374886000,3FYY8,MSC HAMBURG,399,"Cargo ship, General",54
64bfa9f0031fca34f812877d,414325000,BQYK,AN YANG 2,190,"Cargo ship, General",32
64bfaa0d031fca34f8128b4b,538005617,V7FM4,MORNING PRIDE,200,"Cargo ship, General",35
64bfab08031fca34f812a83b,636021814,5LFU8,WAN HAI 178,172,"Cargo ship, Category Y",28
64bfab70031fca34f812b484,636023002,5LLL7,ONE INFINITY,399,"Cargo ship, General",61
64bfab9c031fca34f812b99a,215573000,9HA5185,PEARL LNG,293,"Tanker, General",46
64bfac0f031fca34f812c695,413438390,BPAC8,JIN FU XING 66,160,"Cargo ship, General",24
64bfad5e031fca34f812ed38,636091766,A8SN5,JONATHAN SWIFT,261,"Cargo ship, General",33
64bfad6b031fca34f812ef01,636020744,5LAM7,HMM HANUL,366,"Cargo ship, General",51
64bfad90031fca34f812f36a,994131720,,SXSPFD S1,2,,2
64bfaea6031fca34f813152a,413230240,BOFJ6,DONG FANGHESHENG,212,"Cargo ship, General",28
64bfaf3f031fca34f8132853,477655800,VRFX2,OOCL CHARLESTON,260,"Cargo ship, Category X",32
64bfaf9f031fca34f8133432,413446760,BPWT4,HE HUI 19,126,"Cargo ship, General",18
64bfb07c031fca34f8134e18,353101000,HOBU,LF,224,"Cargo ship, General",32
64bfb197031fca34f8136ecb,636015048,A8YG5,NESTOR,225,"Cargo ship, General",32
64bfb1b0031fca34f81371e4,413281690,BOQX6,DONG HAI 198,109,"Cargo ship, General",22
64bfb259031fca34f81386f8,357874000,3FCC9,EVER USEFUL,285,"Cargo ship, Category OS",40
64bfb2a0031fca34f8138fad,357482000,H3HC,QI XIA SHAN,130,"Cargo ship, General",20
64bfb2c3031fca34f81393b8,477826900,VRGN5,HEBEI LEGEND,295,"Cargo ship, General",46
64bfb2c5031fca34f81393f5,413345850,BOYZ4,CHANG LI 28,137,"Tanker, General",19
64bfb2d2031fca34f8139593,414823000,BPGL7,CHANG SHENG 5000,182,Not available / no ship,49
64bfb30f031fca34f8139cff,312808000,V3TA6,NEW SILK ROAD 2,97,"Cargo ship, General",16
64bfb37d031fca34f813ab1b,457329000,JVUN7,BAGUS,97,"Cargo ship, General",18
64bfb3e5031fca34f813b744,374747000,3FQO4,SUN PLUS,200,"Cargo ship, General",32
64bfb50b031fca34f813d9b4,994121764,,SEAGLET QZ6,2,,2
64bfb525031fca34f813dce0,412474000,BOFH7,BEI HAI KUN PENG,225,"Tanker, General",38
64bfb55f031fca34f813e38b,440284000,D7HW,SENDAI TRADER,148,Not available / no ship,24
64bfb5aa031fca34f813ec80,563160800,9V8080,WAN HAI 308,199,"Cargo ship, Category X",32
64bfb5f4031fca34f813f4ff,413275950,BLFY6,SHENG  HONG   89,140,"Cargo ship, General",20
64bfb61e031fca34f813f9d4,248846000,9HA2546,EXPRESS SPAIN,223,"Cargo ship, Category Y",32
64bfb8f9031fca34f8142639,574003640,3WYN7,GREEN PACIFIC,147,"Cargo ship, Category X",25
64bfb961031fca34f8142e51,215154000,9HA4987,CMA CGM CORTE REAL,366,"Cargo ship, Category X",52
64bfba1f031fca34f81441a2,413290810,BPRL,HUA HAI 5,188,"Tanker, General",31
64bfbab0031fca34f8145294,636013382,A8MN6,MARIELENA,225,"Cargo ship, General",32
